platform_id,currency_id,name,type,country_id
9BEBF011-ED8D-2140-955A-0ECE5C460C32,d5731592-e36d-44ae-a99d-e99121bef77f,MoneyThing,Platform,61c2888b-8b6a-4536-830f-3a14e86a9cd5
CA1A47D4-3AC6-754D-AFB1-C469A5C3A68F,d5731592-e36d-44ae-a99d-e99121bef77f,Assetz Capital,Platform,61c2888b-8b6a-4536-830f-3a14e86a9cd5
E03D4E65-E330-E643-BE27-2F2F1F5D7370,13fb3c72-4227-4fa2-849a-b597a03d4494,FinBee,Platform,c66b9b04-a505-4964-8a5d-34c571a8e149
C0515F41-1F31-F84A-91BE-EDDA122C8B01,13fb3c72-4227-4fa2-849a-b597a03d4494,Fellow Finance,Platform,de59eb92-8ef0-4cc2-9c11-8845e86ac90e
A56F2FCA-F54C-394E-82A3-47EBF2FC6597,"13fb3c72-4227-4fa2-849a-b597a03d4494
444cc8b9-aeeb-4d5f-b9ae-7c58870f597e
1a77831e-192c-4408-9246-336e8a7af12e
4bc81eca-671b-4d83-b095-b9f756e49938
d5731592-e36d-44ae-a99d-e99121bef77f
14f79a82-26a1-4d9f-b618-2fcfc6c93c33
b14962aa-9305-4b32-8425-b3a3e28c2ee7
70d0264f-5a16-400c-a9c0-6e0fcbf36c39
c52631a9-bb20-4109-ade8-af811b0d43c3
9805b90f-86ef-4df3-a657-e39b1eae5bb2
ff8cdc66-92e9-42e7-9f34-26d1e7e64550
973ed305-2840-4993-8c59-d4f8a78c02b1",Mintos,Platform,aea8f8f5-742f-4566-9ca8-7e2981609983
,13fb3c72-4227-4fa2-849a-b597a03d4494,NN Bank,Bank,547a277e-1109-488a-beab-4d44adfc2db8
E666E8DA-B9E9-824C-8D26-A2782E347F81,13fb3c72-4227-4fa2-849a-b597a03d4494,EstateGuru,Platform,93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
46DC004C-523A-3246-A0F4-5972AC6F888E,13fb3c72-4227-4fa2-849a-b597a03d4494,Crowdestor,Platform,93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
E03B53D1-EC1F-F545-990C-CCF095E6B72E,13fb3c72-4227-4fa2-849a-b597a03d4494,Crowdestate,Platform,93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
,d5731592-e36d-44ae-a99d-e99121bef77f,N26,Bank,61c2888b-8b6a-4536-830f-3a14e86a9cd5
50CBACC6-02C6-4A8F-8E6E-43DDF3A7E7D4,"d5731592-e36d-44ae-a99d-e99121bef77f
13fb3c72-4227-4fa2-849a-b597a03d4494",Fineco,Bank,290a4f6c-4e16-4667-a34b-5c56394cb4c4
DA544A8C-EA85-1841-A291-D6A4BA87A5E9,13fb3c72-4227-4fa2-849a-b597a03d4494,DoFinance,Platform,aea8f8f5-742f-4566-9ca8-7e2981609983
C1FD1AC2-2C05-D24B-8C26-C2C5B363A887,13fb3c72-4227-4fa2-849a-b597a03d4494,ViaInvest,Platform,aea8f8f5-742f-4566-9ca8-7e2981609983
A67E9A55-6001-A54B-995D-4EACB3F9DED1,13fb3c72-4227-4fa2-849a-b597a03d4494,Bulkestate,Platform,aea8f8f5-742f-4566-9ca8-7e2981609983
